platform,title,company,location,url,date,description,source_api,id,relevance_score,salary,posted_time
Google Jobs,Senior Software Engineer(Sr. Full Stack . Net Developer/Architect),Caterpillar,"Bengaluru, Karnataka",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=XyhM10u2bj7x8TmhAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xWNvWpCQRBGSesjpBqwSULYlUCaWJkfLQI2t0wh4zLu3TiZWWbnGkvfwQfyXXyS3DQfnAOHb3K5mXx1JEUNOt35LxrBh-QiRHbXWYDlwAydY9pDgDU5vNOBWCtZXFjqi1Pye7iezvCtW2iEowQVWKlmptt5717bS4ytccjN0UsKSX-iCm31GMeo_c-m9eN1ZXTaPD3PjqFKfpi-jWi1MKNBEXglyciDDY_wiSbouMc_I5LH38IAAAA&shmds=v1_ATWGeeNyOzpBYpCJuDu_EZUJ0ay86wawX1lvyjctRrZ66AbEtw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=XyhM10u2bj7x8TmhAAAAAA%3D%3D,2026-04-22,"Career Area:

Technology, Digital and Data

Job Description:

Your Work Shapes the World at Caterpillar Inc. 



When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are buildin",SerpAPI Google Jobs,8c34bb6b,0.0,Not specified,15 hours ago
Google Jobs,Software UI Developer,Cisco,"Bengaluru, Karnataka",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=Ww6TccHciBac0pXjAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xXMMQoCMRBAUWz3CIIwtUgigo12KohYivUyG8ZkNWZCZla39AB23tCTuDa_e796jypz4os-sRCcD7CjB0XOVOD7-sCVGxDC4gJwgj2zjzReB9UsK2tFovGiqK0zju-WEzXc2wHJP7WEYZojKtWL5bw3OfnpZNuKY2gTbCh5jF3pZnDEklDxhj-gg26ljwAAAA&shmds=v1_ATWGeePnb_h2reYhZiImMFtJqMgl4rEC6bg8KVsQBsJxh-JJ2g&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=Ww6TccHciBac0pXjAAAAAA%3D%3D,2026-04-22,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.





Develops software consistent with Cisco ‘Design Thinking Principles’ with a focus on simplification and UX (User Experience) at its core, using secure coding practices, ensuring user privacy, and following software development best practices. Partners with o",SerpAPI Google Jobs,12de168f,0.0,Not specified,27 days ago
Google Jobs,Spring Boot Developer in Gurgaon,DigitalXNode,"Gurugram, Haryana",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=f3cxotNq-R5NQLwlAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_y2NMQrCQBAAsc0TrNZWJCeChdpJIFY2NnZhE5fNhcvtcXuR2PkHS3_nS4xgM8XAMNl7lu0uIVrPcBRJUNCdnASKYD2UQ2QUD5_nCzqpQQlj08JkShF2ND-0KQXdG6PqctaEyTZ5I70RT7WMZor0h0pbjBQcJqo22_WYB8_LRWHZJnTXs9zovxs4Yr-CE8YHevwCOq_fvZ4AAAA&shmds=v1_ATWGeeNAwCJYu51aVBuafimAL8ryXQskyPHvE0NF4wiKsR0Xrg&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=f3cxotNq-R5NQLwlAAAAAA%3D%3D,2026-04-22,"We are looking for an experienced Spring Boot Developer to design, develop, and maintain scalable backend systems and microservices. You will play a key role in building high-performance applications and solving complex engineering challenges in a fast-paced environment.

Key Responsibilities



Design and develop robust applications using Spring Boot and JavaBuild and maintain microservices-based architectureDevelop and consume RESTful APIsWork with cross-functional teams to deliver scalable so",SerpAPI Google Jobs,332b587d,0.0,Not specified,5 hours ago
Google Jobs,Software Engineer,Caterpillar,"Chennai, Tamil Nadu (+1 other)",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=QVv0chvpj0yRIseZAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xWMsQrCMBBAce0nOB2ORRIRXHQsxc1F93KtZxJJ70IuYkd_wMk_9Eusy4M3vFe9F1V9llt5YiZo2QUmyvB9feAuPShhHjwIw1HERVoefClJ99aqRuO0YAmDGWS0wtTLZOdI_-jUz8MUsVC33W0mk9jVq2bWnEKMmCEwNJ6YMazhgmOIcMLr4wdDzipgkAAAAA&shmds=v1_ATWGeePR0kCaCqKGaj4ZUePhpnPYxzjRGibBaSbFwtMoeaVYDw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=QVv0chvpj0yRIseZAAAAAA%3D%3D,2026-04-22,"Career Area:

Technology, Digital and Data

Job Description:

Your Work Shapes the World at Caterpillar Inc. 



When you join Caterpillar, you're joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers, and future world builders who are creating stronger, more sustainable communities. We don't just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are buildin",SerpAPI Google Jobs,52fcb312,0.0,Not specified,7 days ago
Google Jobs,Software Engineer (India),Strac,"Mumbai, Maharashtra (+2 others)",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=z5jrAfeE_VsoMLCoAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xWMMQ7CMAxFxdojIAaPgFCDKrHAjBBDpx6gckNIUrV2FRvRkRswcENOQlj-8PTeL96Lomr4rk9MDs7kIzmXYH2lW8QNfF8f6LkDcZhsACa4MPvBLU9BdZKjMSJD6UVRoy0tj4bJdTybHMl_Wgn5eBpQXVsd9nM5kd-uGk1oIRLUj7HDuIMas4YSMv8BVPVCQ5IAAAA&shmds=v1_ATWGeeNzwuMW6w999DXIEW0xkQuYHueOvTxG8vM-zK_qCXST0g&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=z5jrAfeE_VsoMLCoAAAAAA%3D%3D,2026-04-22,"We are seeking a highly skilled  Software Engineer with a strong background in software development and an excellent grasp of low-level and cloud technologies.


As a  Software Engineer at Strac, you'll build cutting-edge full-stack technologies that will transform the way businesses scan and remediate sensitive data across various SaaS, Cloud, Gen AI, Browsers. Through high ownership, you’ll help expand our product offering to cover more third-party integrations. You'll work closely with core p",SerpAPI Google Jobs,d99cbf95,0.0,Not specified,Recently
Google Jobs,Software Engineer - Java - Associate - Bangalore/Chennai/Mumbai,BNP Paribas India Solutions,India,https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=qka3KSsZI1zFd-8uAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_yWNPYoCQRCFMZ0jGFVgJDgtwiZu5Miy7IIyYGImNWPZU9JWDV3tT-gd9jxexpPYssl7jw8eX_EYFNuNHtIVI8GXeBaiCBP4xQvmWphpy5go7wrFY9BIbtmRCLJbnU8NMjzvf3DUBowwth2owLeqDzT87FLqbe6cWSi9JUzclq2enAo1enP5ZO_YWZf1fcie3exjeit78eNRta6hxsgNGvzInhE2Gs6JVQxY_tELyNe2X8AAAAA&shmds=v1_ATWGeeNNmE5ud4Xh14yhb94M9S2j5zvJLvkRc1noqmG-AjImxw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=qka3KSsZI1zFd-8uAAAAAA%3D%3D,2026-04-22,"Job Title: Software Engineer

Department: ISPL - Information Technology 

About Business line/Function: 

BNP Paribas Information Technology team is part of the bank’s leading solution provider to global financial services, across capital markets, securities services, advisory, finance and treasury. Our teams work in multi-cultural and empowered squads who deliver new functionalities and enhancements on a frequent basis.   

Position Purpose:A Senior Java Developer is responsible for designing, ",SerpAPI Google Jobs,339cae9b,0.0,Not specified,23 days ago
Mastercard,Senior Software Engineer-1,Mastercard,Pune,https://careers.mastercard.com/us/en/job/R-275121/Senior-Software-Engineer-1,2026-04-22,"Our Purpose

Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest po",RapidAPI JSearch,6568ec4b,0.0,Not specified,2026-04-21T23:00:00.000Z
Simcorp A/S,"Software Engineer in Accounting | Hyderabad, IN",SimCorp A/S,Hyderabad,https://www.efinancialcareers.com/jobs-India-Hyderabad-Software_Engineer_in_Accounting.id24148710,2026-04-22,"Software Engineer in Accounting

{""description"": "" WHAT MAKES US, US 

Join some of the most innovative thinkers in FinTech as we lead the evolution of financial technology. If you are an innovative, curious, collaborative person who embraces challenges and wants to grow, learn and pursue outcomes with our prestigious financial clients, say Hello to SimCorp! 

At its foundation, SimCorp is guided by our values - caring, customer success-driven, collaborative, curious, and courageous. Our p",RapidAPI JSearch,504cf374,0.0,Not specified,2026-04-19T00:00:00.000Z
Mastercard,Software Engineer II,Mastercard,Gurugram,https://careers.mastercard.com/us/en/job/R-273792/Software-Engineer-II,2026-04-22,"Our Purpose

Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest po",RapidAPI JSearch,176baccd,0.0,Not specified,2026-04-19T00:00:00.000Z
Ford Motor Private Limited,Tech Specialist Software Engineering,Ford Motor Private Limited,Chennai,https://www.careers.ford.com/job/chennai/tech-specialist-software-engineering/48560/91685198080,2026-04-22,"We are looking for a hands-on Tech Specialist Software Engineer to lead the design and execution of core capabilities within our Enterprise Data Platform (EDP), spanning data ingestion, access, and governance.
This role is for someone who can operate at both architectural and implementation depth, translating complex, ambiguous data requirements into scalable, production-grade systems, while actively contributing to code, design, and platform evolution.
You will play a critical role in building ",RapidAPI JSearch,3a6020d1,0.0,Not specified,2026-04-16T00:00:00.000Z
Nationwide Mutual Insurance Company,"Manager, Software Engineer - India (Data Engineering) | Hyderabad, IN",Nationwide Mutual Insurance Company,Hyderabad,https://www.efinancialcareers.com/jobs-India-Hyderabad-Manager_Software_Engineer_-_India_Data_Engineering.id24138428,2026-04-22,"Manager, Software Engineer - India (Data Engineering)

{""description"": ""If you're passionate about being part of a dynamic organization that enables a Fortune 100 company with nearly $70 billion in annual sales to drive innovation and adopt new technologies that deliver business results, then Nationwide's Technology team could be the place for you! At Nationwide®, \""on your side\"" goes beyond just words. Our customers are at the center of everything we do and we're looking for associates who a",RapidAPI JSearch,d717b729,0.0,Not specified,2026-04-17T00:00:00.000Z
Disney Entertainment And Espn Product & Technology,Lead/Senior Software Engineer – User Foundations Platform,Disney Entertainment and ESPN Product & Technology,Bengaluru,https://www.disneycareers.com/en/job/bengaluru/lead-senior-software-engineer-user-foundations-platform/391/93934931424,2026-04-22,"Disney Entertainment and ESPN Product & Technology

On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming Disney’s media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to maximize flexibility and efficiency, or delivering Disney’s unmatched entertainment and s",RapidAPI JSearch,6fc5449e,0.0,Not specified,2026-04-13T00:00:00.000Z
Adci Maa 12 Sez,"Senior Software Development Engineer, FinTech, Audible",ADCI MAA 12 SEZ,Chennai,https://www.audiblecareers.com/job/chennai/senior-software-development-engineer-fintech-audible/27552/93942458704,2026-04-22,"At Audible, we believe stories have the power to transform lives. It’s why we work with some of the world’s leading creators to produce and share audio storytelling with our millions of global listeners. We are dreamers and inventors who come from a wide range of backgrounds and experiences to empower and inspire each other. Imagine your future with us.

ABOUT THIS ROLE
As a Senior Software Development Engineer, it’s up to you to define, design and refine the tech that keeps us one step ahead of",RapidAPI JSearch,15da4190,0.0,Not specified,2026-04-13T00:00:00.000Z
Ebay,Software Engineer 2,eBay,Bengaluru,https://jobs.ebayinc.com/us/en/job/R0072691/Software-Engineer-2,2026-04-22,"At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We’re committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts.

Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work — every day. We're in this together, sustaining the futur",RapidAPI JSearch,51435a22,0.0,Not specified,2026-04-13T00:00:00.000Z
Red Hat India Private Limited,"Senior Software Engineer, AI/ML Backend Developer (Python, Linux)",Red Hat India Private Limited,,https://bebee.com/in/jobs/senior-software-engineer-ai-ml-backend-developer-python-linux-red-hat-india-private-limited-pashan--whatjobs-1831_20155914,2026-04-22,"Red Hat’s Customer Experience & Engagement (CEE) team is looking for a Senior Software Engineer (AI/ML Backend developer) to join our Business Intelligence team.

A Senior Software Engineer for AI/ML Backend at Red Hat is primarily responsible for designing, developing, and deploying scalable AI platforms and applications using open source technologies like Kubernetes and Python. The role often involves working on the Red Hat OpenShift AI platform and contributing to upstream open-source communi",RapidAPI JSearch,997d4376,0.0,Not specified,2026-04-16T00:00:00.000Z
Cisco,"Software Engineer (C, C++, Python, L2, L3, ControlPlane/Control Plane) - 5 - 8 years- Bangalore",Cisco,Bengaluru,https://careers.cisco.com/global/en/job/CISCISGLOBAL2009484EXTERNALENGLOBAL/Software-Engineer-C-C-Python-L2-L3-ControlPlane-Control-Plane-5-8-years-Bangalore,2026-04-22,"Meet The Team

Cisco IOS XR India group is responsible for architecting, designing, developing and supporting solutions for some of the world's largest service providers and web enterprises that are constantly evolving to meet customer business requirements. The team owns key protocol components in the NOS and is in charge of router observability and application hosting frameworks. This development team gets interleaved in every stage of SDLC starting with requirements collection from product ma",RapidAPI JSearch,4d0c3eb9,0.0,Not specified,2026-04-21T23:00:00.000Z
Barclays,Software Engineer - Developer Experience,Barclays,Bengaluru,https://search.jobs.barclays/job/bengaluru/software-engineer-developer-experience/13015/93764357168,2026-04-22,"Join us as a Software Engineer - Developer Experience at Barclays, where you'll spearhead the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionize our digital offerings, ensuring unapparelled customer experiences. The ideal candidate will have deep expertise in cloud-native technologies, distributed streaming platforms, Kubernetes orchestration, and multi-region architecture patterns.

To be a successful Software Engineer ",RapidAPI JSearch,f63c1f02,0.0,Not specified,2026-04-08T00:00:00.000Z
Uber,software engineer 2 iOS,Uber,Bengaluru,https://www.uber.com/global/en/careers/list/156527/,2026-04-22,"About the Role

This role is for experience team under earner org. The primary objective for this team is to solve the problem of low acceptance rate throughout uber systems. Uber has moved from a supply constrained market to ‘quality supply’ being need of the hour. The broader program enables uber to do just that by creating sustainable and meaningful quality based loyalty and engagement boosting products.

Core experiences like trip , offer , preferences scheduling planning and guidance are al",RapidAPI JSearch,4991250e,0.0,Not specified,2026-03-31T00:00:00.000Z
